"ensembl_gene_id","schizo_sft8_minSize30_cutHeight0.15","schizo_sft8_minSize30_cutHeight0.2","schizo_sft8_minSize30_cutHeight0.25","schizo_sft8_minSize50_cutHeight0.15","schizo_sft8_minSize50_cutHeight0.2","schizo_sft8_minSize50_cutHeight0.25","schizo_sft9_minSize30_cutHeight0.15","schizo_sft9_minSize30_cutHeight0.2","schizo_sft9_minSize30_cutHeight0.25","schizo_sft9_minSize50_cutHeight0.15","schizo_sft9_minSize50_cutHeight0.2","schizo_sft9_minSize50_cutHeight0.25","schizo_sft10_minSize30_cutHeight0.15","schizo_sft10_minSize30_cutHeight0.2","schizo_sft10_minSize30_cutHeight0.25","schizo_sft10_minSize50_cutHeight0.15","schizo_sft10_minSize50_cutHeight0.2","schizo_sft10_minSize50_cutHeight0.25","bipolar_sft8_minSize30_cutHeight0.15","bipolar_sft8_minSize30_cutHeight0.2","bipolar_sft8_minSize30_cutHeight0.25","bipolar_sft8_minSize50_cutHeight0.15","bipolar_sft8_minSize50_cutHeight0.2","bipolar_sft8_minSize50_cutHeight0.25","bipolar_sft9_minSize30_cutHeight0.15","bipolar_sft9_minSize30_cutHeight0.2","bipolar_sft9_minSize30_cutHeight0.25","bipolar_sft9_minSize50_cutHeight0.15","bipolar_sft9_minSize50_cutHeight0.2","bipolar_sft9_minSize50_cutHeight0.25","bipolar_sft12_minSize30_cutHeight0.15","bipolar_sft12_minSize30_cutHeight0.2","bipolar_sft12_minSize30_cutHeight0.25","bipolar_sft12_minSize50_cutHeight0.15","bipolar_sft12_minSize50_cutHeight0.2","bipolar_sft12_minSize50_cutHeight0.25","bipolar_sft14_minSize30_cutHeight0.15","bipolar_sft14_minSize30_cutHeight0.2","bipolar_sft14_minSize30_cutHeight0.25","bipolar_sft14_minSize50_cutHeight0.15","bipolar_sft14_minSize50_cutHeight0.2","bipolar_sft14_minSize50_cutHeight0.25","mdd_sft9_minSize30_cutHeight0.15","mdd_sft9_minSize30_cutHeight0.2","mdd_sft9_minSize30_cutHeight0.25","mdd_sft9_minSize50_cutHeight0.15","mdd_sft9_minSize50_cutHeight0.2","mdd_sft9_minSize50_cutHeight0.25","mdd_sft10_minSize30_cutHeight0.15","mdd_sft10_minSize30_cutHeight0.2","mdd_sft10_minSize30_cutHeight0.25","mdd_sft10_minSize50_cutHeight0.15","mdd_sft10_minSize50_cutHeight0.2","mdd_sft10_minSize50_cutHeight0.25","mdd_sft11_minSize30_cutHeight0.15","mdd_sft11_minSize30_cutHeight0.2","mdd_sft11_minSize30_cutHeight0.25","mdd_sft11_minSize50_cutHeight0.15","mdd_sft11_minSize50_cutHeight0.2","mdd_sft11_minSize50_cutHeight0.25","mdd_sft12_minSize30_cutHeight0.15","mdd_sft12_minSize30_cutHeight0.2","mdd_sft12_minSize30_cutHeight0.25","mdd_sft12_minSize50_cutHeight0.15","mdd_sft12_minSize50_cutHeight0.2","mdd_sft12_minSize50_cutHeight0.25"
"ENSG00000125454","14","5","5","10","5","5","6","5","7","6","6","6","7","6","6","0","0","0","1","1","1","1","1","1","1","2","2","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000155886","1","1","1","1","1","1","3","3","3","3","3","3","4","4","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000280381","1","1","1","1","1","1","3","3","3","3","3","3","4","4","1","1","1","1","31","24","4","1","1","1","1","2","2","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","4","1"
"ENSG00000180938","2","2","2","2","2","2","1","1","1","1","1","1","3","3","1","2","2","1","1","1","1","4","1","1","3","1","1","1","2","2","1","1","1","1","1","2","1","1","1","4","2","1","1","1","1","1","1","1","14","13","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000165030","12","5","5","8","5","5","6","5","7","6","6","6","7","6","6","4","4","3","15","7","6","7","5","5","10","6","5","10","5","5","5","6","4","0","0","0","8","7","3","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","13","11","10","1","1","1","1","1","1","1","1","1"
"ENSG00000185379","9","9","9","8","5","5","11","11","10","0","0","0","0","0","0","0","0","0","3","3","2","2","2","2","2","1","1","2","1","1","7","7","6","6","5","5","7","6","6","5","4","3","4","2","2","4","4","2","2","2","2","5","2","3","2","2","2","3","3","1","2","2","2","2","2","2"
"ENSG00000213088","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","9","1","4","1","1","6","4","3","1","2","2","9","2","2","1","1","2","11","9","7","1","1","2","2","3","3","2","3","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000246448","2","2","2","2","2","2","1","1","1","1","1","1","2","1","2","2","2","1","3","3","2","2","2","2","2","1","1","2","1","1","1","1","1","4","3","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0"
"ENSG00000124496","1","1","1","1","1","1","5","4","5","5","5","5","2","1","2","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","5","5","3","5","5","4","6","3","3","4","4","1"
"ENSG00000247315","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","7","6","7","5","5","10","6","5","10","5","5","0","0","0","0","0","0","0","0","0","0","0","0","8","7","7","1","1","1","8","8","6","0","0","0","0","0","0","0","0","0","8","6","6","0","0","0"
"ENSG00000124491","6","8","8","6","7","6","9","9","9","8","8","8","9","8","7","6","6","5","20","14","10","18","15","12","25","15","15","14","10","10","19","15","13","8","7","6","16","13","11","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","13","11","10","0","0","0","0","0","0","0","0","0"
"ENSG00000247317","5","7","7","1","1","1","7","6","4","7","7","7","8","7","4","2","2","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000124493","19","15","15","9","8","8","12","12","11","9","9","9","10","9","8","5","5","4","14","12","9","8","7","6","13","10","9","11","8","8","7","7","6","6","5","5","7","6","6","5","4","3","6","4","4","5","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000281383","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000169155","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","25","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000168795","1","1","1","1","1","1","1","1","1","1","1","1","19","16","6","2","2","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","1","1","1","1","1","1","3","3","3","5","2","3","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000213339","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000109854","1","1","1","1","1","1","2","1","1","1","1","1","4","4","1","8","8","6","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000143756","1","1","1","1","1","1","1","1","1","1","1","1","3","3","1","2","2","1","3","3","2","2","2","2","2","1","1","2","1","1","7","7","6","6","5","5","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000167005","3","4","4","3","4","4","14","13","6","2","2","2","6","5","5","3","3","2","2","2","3","5","3","3","4","3","4","4","3","3","3","3","3","2","2","1","1","1","1","3","3","1","3","2","2","3","2","2","4","4","2","4","5","2","4","3","4","2","2","2","4","4","4","3","3","3"
"ENSG00000280650","1","1","1","1","1","1","3","3","3","3","3","3","4","4","1","1","1","1","27","10","2","1","1","1","12","8","7","18","13","13","15","4","1","10","9","8","3","1","1","6","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000143753","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","9","6","3","8","3","4","6","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000128944","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","15","3","5","3","3","24","3","4","7","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000123143","1","1","1","1","1","1","1","1","1","4","4","4","1","2","3","3","3","2","3","3","2","2","2","2","2","1","1","2","1","1","1","1","1","2","2","1","1","1","1","2","2","1","4","2","2","4","4","2","2","2","2","3","4","5","16","2","2","3","3","1","2","2","2","2","2","2"
"ENSG00000123146","1","1","1","1","1","1","2","1","1","1","1","1","5","1","2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","2","3","3","2","3","3","3","3","3","5","2","3","1","1","1","1","1","1","1","1","1","5","5","4"
