"ensembl_gene_id","schizo_sft8_minSize30_cutHeight0.15","schizo_sft8_minSize30_cutHeight0.2","schizo_sft8_minSize30_cutHeight0.25","schizo_sft8_minSize50_cutHeight0.15","schizo_sft8_minSize50_cutHeight0.2","schizo_sft8_minSize50_cutHeight0.25","schizo_sft9_minSize30_cutHeight0.15","schizo_sft9_minSize30_cutHeight0.2","schizo_sft9_minSize30_cutHeight0.25","schizo_sft9_minSize50_cutHeight0.15","schizo_sft9_minSize50_cutHeight0.2","schizo_sft9_minSize50_cutHeight0.25","schizo_sft10_minSize30_cutHeight0.15","schizo_sft10_minSize30_cutHeight0.2","schizo_sft10_minSize30_cutHeight0.25","schizo_sft10_minSize50_cutHeight0.15","schizo_sft10_minSize50_cutHeight0.2","schizo_sft10_minSize50_cutHeight0.25","bipolar_sft8_minSize30_cutHeight0.15","bipolar_sft8_minSize30_cutHeight0.2","bipolar_sft8_minSize30_cutHeight0.25","bipolar_sft8_minSize50_cutHeight0.15","bipolar_sft8_minSize50_cutHeight0.2","bipolar_sft8_minSize50_cutHeight0.25","bipolar_sft9_minSize30_cutHeight0.15","bipolar_sft9_minSize30_cutHeight0.2","bipolar_sft9_minSize30_cutHeight0.25","bipolar_sft9_minSize50_cutHeight0.15","bipolar_sft9_minSize50_cutHeight0.2","bipolar_sft9_minSize50_cutHeight0.25","bipolar_sft12_minSize30_cutHeight0.15","bipolar_sft12_minSize30_cutHeight0.2","bipolar_sft12_minSize30_cutHeight0.25","bipolar_sft12_minSize50_cutHeight0.15","bipolar_sft12_minSize50_cutHeight0.2","bipolar_sft12_minSize50_cutHeight0.25","bipolar_sft14_minSize30_cutHeight0.15","bipolar_sft14_minSize30_cutHeight0.2","bipolar_sft14_minSize30_cutHeight0.25","bipolar_sft14_minSize50_cutHeight0.15","bipolar_sft14_minSize50_cutHeight0.2","bipolar_sft14_minSize50_cutHeight0.25","mdd_sft9_minSize30_cutHeight0.15","mdd_sft9_minSize30_cutHeight0.2","mdd_sft9_minSize30_cutHeight0.25","mdd_sft9_minSize50_cutHeight0.15","mdd_sft9_minSize50_cutHeight0.2","mdd_sft9_minSize50_cutHeight0.25","mdd_sft10_minSize30_cutHeight0.15","mdd_sft10_minSize30_cutHeight0.2","mdd_sft10_minSize30_cutHeight0.25","mdd_sft10_minSize50_cutHeight0.15","mdd_sft10_minSize50_cutHeight0.2","mdd_sft10_minSize50_cutHeight0.25","mdd_sft11_minSize30_cutHeight0.15","mdd_sft11_minSize30_cutHeight0.2","mdd_sft11_minSize30_cutHeight0.25","mdd_sft11_minSize50_cutHeight0.15","mdd_sft11_minSize50_cutHeight0.2","mdd_sft11_minSize50_cutHeight0.25","mdd_sft12_minSize30_cutHeight0.15","mdd_sft12_minSize30_cutHeight0.2","mdd_sft12_minSize30_cutHeight0.25","mdd_sft12_minSize50_cutHeight0.15","mdd_sft12_minSize50_cutHeight0.2","mdd_sft12_minSize50_cutHeight0.25"
"ENSG00000110514","8","6","6","7","3","3","15","2","2","4","4","4","1","2","3","3","3","2","6","6","4","6","4","4","3","1","1","5","1","1","1","1","1","3","3","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000086015","5","7","7","5","6","7","10","10","4","7","7","7","8","7","4","2","2","1","6","6","4","12","9","8","9","4","3","3","6","6","4","5","5","5","4","3","6","5","5","0","0","0","5","1","1","5","5","4","5","5","4","6","6","4","7","5","3","5","5","4","6","3","3","4","4","1"
"ENSG00000169740","2","2","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","6","6","4","6","4","4","9","4","3","3","6","6","4","5","5","0","0","0","0","0","0","0","0","0","9","5","5","8","7","7","5","5","4","6","6","4","5","5","3","6","7","6","11","3","3","0","0","0"
"ENSG00000261609","17","13","14","1","1","1","1","1","1","8","8","8","19","16","6","6","6","5","21","16","5","7","5","5","20","13","11","9","5","5","12","10","4","7","6","4","10","8","3","6","5","1","14","10","10","1","1","1","13","12","10","12","2","3","11","10","9","4","4","3","13","10","10","5","5","4"
"ENSG00000169744","13","3","3","7","3","3","16","2","2","4","4","4","1","2","3","3","3","2","3","3","2","2","2","2","3","1","1","2","1","1","1","1","1","2","2","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","10","8","8","1","1","1"
"ENSG00000168298","7","3","3","4","3","3","24","16","14","4","4","4","1","2","3","5","5","4","28","22","15","2","2","2","2","1","1","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000168297","2","2","2","2","2","2","5","4","5","5","5","5","3","3","1","7","7","6","1","1","1","4","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000168291","3","4","4","3","4","4","8","8","6","2","2","2","6","5","5","0","0","0","2","2","3","5","3","3","2","1","1","2","1","1","3","3","3","2","2","1","9","3","1","3","3","1","3","2","2","3","2","2","4","4","2","2","3","2","4","3","4","2","2","2","3","2","2","3","3","3"
"ENSG00000149792","10","10","10","9","8","8","0","0","0","0","0","0","0","0","0","0","0","0","4","4","5","2","2","2","3","1","1","2","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000141854","3","4","4","3","4","4","13","7","8","2","2","2","0","0","0","0","0","0","7","9","1","4","1","1","11","2","2","13","9","9","9","2","2","1","1","2","11","9","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000149798","2","2","2","2","2","2","2","1","1","1","1","1","5","1","2","7","7","6","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","1","1","1","1","1","1","3","3","3","5","2","3","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000183054","7","3","3","4","3","3","5","4","5","5","5","5","3","3","1","1","1","1","4","4","5","3","2","2","1","2","2","1","2","2","6","4","1","2","2","1","3","1","1","3","3","1","1","1","1","1","1","1","3","3","3","5","2","3","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000250565","3","4","4","3","4","4","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000187961","1","1","1","1","1","1","2","1","1","1","1","1","4","4","1","1","1","1","12","8","8","13","10","9","13","10","9","11","8","8","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","3","4","5","4","4","3","5","3","3","4","4","1"
"ENSG00000162849","1","1","1","1","1","1","2","1","1","1","1","1","5","1","2","2","2","1","5","5","2","3","2","2","2","1","1","2","1","1","1","1","1","4","3","1","0","0","0","0","0","0","6","4","4","5","5","4","7","7","4","7","8","4","6","7","3","10","10","8","5","3","3","0","0","0"
"ENSG00000184702","26","18","13","1","1","1","1","1","1","1","1","1","2","1","2","1","1","1","6","6","4","6","4","4","5","5","3","7","4","4","8","1","1","3","3","1","3","1","1","4","2","1","1","1","1","1","1","1","7","7","4","7","8","4","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000184708","8","6","6","4","3","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","4","1","1","1","2","2","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000163462","18","14","13","5","6","7","2","1","1","3","3","3","2","1","2","1","1","1","1","1","1","1","1","1","6","4","3","3","6","6","4","5","5","1","1","2","2","2","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000163463","2","2","2","2","2","2","2","1","1","1","1","1","5","1","2","2","2","1","4","4","5","2","2","2","2","1","1","2","1","1","3","3","3","2","2","1","9","3","1","3","3","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","9","7","7","4","4","1"
"ENSG00000163466","1","1","1","1","1","1","1","1","1","5","5","5","0","0","0","0","0","0","1","1","1","4","1","1","1","2","2","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","1","1","1","3","3","3","12","2","3","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000163468","9","9","9","3","4","4","13","7","8","2","2","2","0","0","0","0","0","0","2","2","3","5","3","3","4","3","4","4","3","3","3","3","3","2","2","1","5","3","1","3","3","1","8","7","7","0","0","0","8","8","6","0","0","0","0","0","0","0","0","0","8","6","6","0","0","0"
"ENSG00000162599","2","2","2","2","2","2","1","1","1","1","1","1","1","2","3","3","3","2","32","25","5","3","2","2","18","12","12","17","12","12","17","13","11","9","8","7","15","12","9","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","13","10","10","1","1","1"
"ENSG00000267731","1","1","1","1","1","1","2","1","1","1","1","1","5","1","2","2","2","1","10","7","6","7","5","5","10","6","5","10","5","5","5","6","4","0","0","0","8","7","3","0","0","0","9","5","5","6","2","5","11","10","8","4","5","2","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000029364","1","1","1","1","1","1","2","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","3","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000029363","18","14","13","5","6","7","8","8","6","2","2","2","8","7","4","0","0","0","12","8","8","13","10","9","14","5","3","12","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000263603","1","1","1","1","1","1","2","1","1","1","1","1","2","1","2","1","1","1","12","8","8","13","10","9","14","5","3","12","4","4","0","0","0","0","0","0","0","0","0","0","0","0","6","4","4","5","5","4","7","7","4","7","8","4","6","7","3","10","10","8","5","3","3","0","0","0"
"ENSG00000115073","2","2","2","2","2","2","8","8","6","1","1","1","3","3","1","2","2","1","4","4","5","2","2","2","2","1","1","2","1","1","1","1","1","2","2","1","9","3","1","2","2","1","4","2","2","4","4","2","2","2","2","3","4","5","2","2","2","3","3","1","2","2","2","2","2","2"
"ENSG00000213853","30","19","8","13","11","6","9","9","9","8","8","8","9","8","7","6","6","5","21","16","5","7","5","5","20","13","11","9","5","5","12","10","4","7","6","4","10","8","3","6","5","1","3","2","2","3","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000213859","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","1","37","3","2","3","2","2","3","1","1","2","1","1","1","1","1","9","8","7","1","1","1","2","2","1","2","3","3","2","3","3","3","3","3","5","2","3","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000055070","3","4","4","3","4","4","13","7","8","2","2","2","6","5","5","3","3","2","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000162337","6","8","8","6","7","6","9","9","9","8","8","8","9","8","7","6","6","5","9","11","7","8","7","6","7","7","6","8","7","7","1","1","1","6","5","5","1","1","1","2","2","1","4","2","2","4","4","2","2","2","2","3","4","5","2","2","2","3","3","1","2","2","2","2","2","2"
"ENSG00000182013","4","3","3","3","4","4","4","2","2","4","4","4","1","2","3","3","3","2","2","2","3","5","3","3","2","1","1","2","1","1","1","1","1","2","2","1","1","1","1","3","3","1","2","3","3","2","3","3","3","3","3","5","2","3","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000251595","2","2","2","2","2","2","2","1","1","1","1","1","3","3","1","2","2","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","3","2","2","3","2","2","4","4","2","2","3","2","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000245293","1","1","1","1","1","1","5","4","5","5","5","5","2","1","2","4","4","3","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","2","3","3","2","3","3","3","3","3","1","1","1","3","4","5","1","1","1","1","1","1","5","5","4"
"ENSG00000164659","31","12","12","2","2","2","17","3","3","1","1","1","20","17","1","1","1","1","1","1","1","1","1","1","6","4","3","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","2","3","3","2","3","3","3","3","3","11","2","3","3","4","5","1","1","1","1","1","1","1","1","1"
"ENSG00000164654","5","7","7","3","4","4","10","10","4","7","7","7","8","7","4","0","0","0","2","2","3","5","3","3","4","3","4","4","3","3","3","3","3","0","0","0","0","0","0","0","0","0","3","2","2","3","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000114978","15","11","11","11","9","9","19","14","12","10","10","10","12","11","9","3","3","2","20","14","10","18","15","12","5","5","3","7","4","4","8","1","1","3","3","1","16","13","11","4","2","1","5","1","1","7","6","6","6","6","5","10","7","6","14","6","6","11","6","5","7","5","5","4","4","1"
"ENSG00000161021","1","1","1","1","1","1","2","1","1","1","1","1","2","1","2","1","1","1","2","2","3","5","3","3","4","3","4","4","3","3","1","1","1","2","2","1","1","1","1","3","3","1","3","2","2","3","2","2","4","4","2","2","3","2","2","2","2","2","2","2","3","2","2","3","3","3"
"ENSG00000215861","29","3","3","4","3","3","24","16","14","4","4","4","1","2","3","3","3","2","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000119509","1","1","1","1","1","1","5","4","5","5","5","5","4","4","1","8","8","6","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000165309","10","10","10","9","8","8","12","12","11","9","9","9","10","9","8","5","5","4","9","11","7","8","7","6","7","7","6","8","7","7","7","7","6","6","5","5","7","6","6","5","4","3","12","9","9","9","8","8","12","11","9","9","9","7","9","9","8","7","8","7","12","9","9","7","7","6"
"ENSG00000165300","1","1","1","1","1","1","1","1","1","5","5","5","3","3","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000101608","30","19","8","13","11","6","9","9","9","8","8","8","7","6","6","6","6","5","4","4","5","1","1","1","25","15","15","1","2","2","19","15","13","8","7","6","16","13","11","1","1","2","2","3","3","2","3","3","3","3","3","5","2","3","13","11","10","11","6","5","7","5","5","0","0","0"
"ENSG00000101605","6","8","8","6","7","6","4","2","2","8","8","8","1","2","3","3","3","2","2","2","3","2","2","2","2","1","1","2","1","1","1","1","1","3","3","1","1","1","1","2","2","1","2","3","3","2","3","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000170100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","0","0","0","0","0","0"
"ENSG00000198791","2","2","2","2","2","2","13","7","8","2","2","2","1","2","3","2","2","1","3","3","2","2","2","2","2","1","1","2","1","1","1","1","1","2","2","1","1","1","1","3","3","1","3","2","2","3","2","2","4","4","2","2","3","2","2","2","2","2","2","2","2","2","2","3","3","3"
"ENSG00000198792","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","20","14","12","9","8","15","11","10","3","6","6","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","3","2","2","4","4","2","2","3","2","4","3","4","2","2","2","0","0","0","0","0","0"
"ENSG00000198793","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","1","8","10","4","6","4","4","3","1","1","5","1","1","8","1","1","3","3","1","3","1","1","4","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000198794","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","8","10","4","6","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000198795","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","12","9","2","2","2","13","10","9","11","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000198797","8","6","6","1","1","1","1","1","1","1","1","1","2","1","2","2","2","1","11","8","4","10","8","4","5","5","3","7","4","4","1","1","1","3","3","1","1","1","1","4","2","1","13","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000197776","1","1","1","1","1","1","5","4","5","5","5","5","3","3","1","1","1","1","12","8","8","13","10","9","6","4","3","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","22","15","11","1","1","1","7","7","4","1","1","1","3","4","5","4","4","3","1","1","1","4","4","1"
"ENSG00000175550","8","6","6","7","3","3","16","2","2","3","3","3","0","0","0","0","0","0","24","19","13","14","11","10","22","9","8","15","11","11","13","11","9","0","0","0","0","0","0","0","0","0","10","8","8","8","7","7","10","9","7","0","0","0","8","8","7","6","7","6","9","7","7","0","0","0"
"ENSG00000197771","8","6","6","7","3","3","16","2","2","4","4","4","1","2","3","3","3","2","4","4","5","6","4","4","5","5","3","7","4","4","1","1","1","3","3","1","4","4","4","4","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000161682","20","6","6","1","1","1","7","6","4","1","1","1","11","10","4","2","2","1","6","6","4","6","4","4","9","4","3","3","6","6","4","5","5","5","4","3","6","5","5","4","2","1","5","1","1","5","5","4","5","5","4","6","6","4","7","5","3","5","5","4","6","3","3","4","4","1"
"ENSG00000076321","1","1","1","1","1","1","1","1","1","1","1","1","3","3","1","1","1","1","4","4","5","2","2","2","2","1","1","2","1","1","1","1","1","3","3","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","4","1"
"ENSG00000183864","2","2","2","2","2","2","1","1","1","1","1","1","2","1","2","2","2","1","5","5","2","15","12","7","2","1","1","2","1","1","1","1","1","1","1","2","1","1","1","3","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000167680","18","14","13","5","6","7","7","6","4","1","1","1","4","4","1","1","1","1","12","8","8","13","10","9","14","5","3","12","4","4","10","8","7","5","4","3","4","4","4","4","2","1","6","4","4","1","1","1","7","7","4","7","8","4","6","7","3","1","1","1","5","3","3","1","1","1"
"ENSG00000124217","3","4","4","3","4","4","8","8","6","2","2","2","6","5","5","3","3","2","5","5","2","3","2","2","1","2","2","1","2","2","1","1","1","2","2","1","1","1","1","3","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000124214","8","6","6","7","3","3","10","10","4","7","7","7","8","7","4","0","0","0","7","9","1","4","1","1","11","2","2","1","2","2","13","11","9","1","1","2","14","11","10","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000124215","1","1","1","1","1","1","2","1","1","1","1","1","2","1","2","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","2","3","3","2","3","3","3","3","3","5","2","3","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000124212","6","8","8","6","7","6","9","9","9","8","8","8","9","8","7","6","6","5","1","1","1","1","1","1","1","2","2","1","2","2","6","4","1","7","6","4","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","13","11","10","1","1","1","1","1","1","4","4","1"
"ENSG00000167685","1","1","1","1","1","1","3","3","3","3","3","3","0","0","0","0","0","0","9","11","7","8","7","6","7","7","6","8","7","7","7","7","6","6","5","5","0","0","0","0","0","0","3","2","2","3","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2"
"ENSG00000161970","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","25","20","14","12","9","8","15","11","10","3","6","6","14","12","10","1","1","2","6","5","5","0","0","0","17","11","11","8","7","7","10","9","7","6","6","4","8","8","7","6","7","6","9","7","7","4","4","1"
"ENSG00000175073","3","4","4","3","4","4","8","8","6","2","2","2","6","5","5","3","3","2","5","2","3","3","2","2","4","3","4","4","3","3","1","1","1","2","2","1","1","1","1","3","3","1","4","2","2","4","4","2","2","2","2","3","4","5","2","2","2","3","3","1","2","2","2","2","2","2"
"ENSG00000160087","5","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","5","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","4","4","5","5","4","5","5","4","6","6","4","5","5","3","5","5","4","11","3","3","0","0","0"
"ENSG00000036054","3","4","4","3","4","4","13","7","8","2","2","2","6","5","5","0","0","0","19","9","1","1","1","1","15","11","10","13","9","9","4","5","5","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000002586","2","2","2","1","1","1","1","1","1","1","1","1","5","1","2","2","2","1","21","16","5","2","2","2","20","13","11","2","1","1","12","10","4","7","6","4","10","8","3","6","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000177954","1","1","1","1","1","1","1","1","1","5","5","5","2","1","2","1","1","1","25","20","14","12","9","8","27","16","3","3","6","6","14","12","10","1","1","2","2","2","2","1","1","2","10","8","8","8","7","7","10","9","7","1","1","1","8","8","7","6","7","6","9","7","7","4","4","1"
"ENSG00000177951","3","4","4","3","4","4","13","7","8","6","6","6","0","0","0","0","0","0","2","2","3","5","3","3","4","3","4","4","3","3","3","3","3","2","2","1","5","3","1","7","3","1","3","2","2","3","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000198242","4","3","3","4","3","3","4","2","2","4","4","4","1","2","3","3","3","2","25","20","14","1","1","1","6","4","3","1","2","2","14","12","10","1","1","2","2","2","2","1","1","2","10","8","8","8","7","7","10","9","7","1","1","1","8","8","7","6","7","6","9","7","7","4","4","1"
"ENSG00000198246","16","5","5","10","5","5","6","5","7","6","6","6","7","6","6","0","0","0","1","1","1","4","1","1","1","2","2","1","2","2","2","2","2","1","1","2","14","11","10","8","6","4","11","6","6","7","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000135916","15","11","11","11","9","9","21","14","12","10","10","10","12","11","9","0","0","0","1","1","1","1","1","1","11","2","2","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","13","1","1","4","4","2","13","12","10","0","0","0","11","10","9","0","0","0","0","0","0","0","0","0"
"ENSG00000135913","2","2","2","2","2","2","1","1","1","1","1","1","3","3","1","2","2","1","7","9","1","4","1","1","11","2","2","1","2","2","9","2","2","1","1","2","2","2","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000135912","2","2","2","2","2","2","1","1","1","1","1","1","1","2","3","3","3","2","5","5","2","15","12","7","2","1","1","2","1","1","1","1","1","2","2","1","1","1","1","3","3","1","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000092148","3","4","4","3","4","4","8","8","6","2","2","2","6","5","5","3","3","2","2","2","3","5","3","3","4","3","4","4","3","3","3","3","3","2","2","1","5","3","1","3","3","1","7","4","4","3","2","2","4","4","2","2","3","2","4","3","4","2","2","2","3","2","2","3","3","3"
"ENSG00000034693","9","9","9","3","4","4","11","11","10","0","0","0","0","0","0","0","0","0","2","2","3","15","12","7","16","9","8","4","3","3","3","3","3","2","2","1","5","3","1","3","3","1","8","7","7","3","2","2","8","8","6","2","3","2","4","3","4","0","0","0","8","6","6","0","0","0"
"ENSG00000135919","9","9","9","1","1","1","11","11","10","5","5","5","0","0","0","0","0","0","10","7","6","7","5","5","20","13","11","10","5","5","5","6","4","0","0","0","8","7","3","0","0","0","14","10","10","1","1","1","13","12","10","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0"
"ENSG00000230487","1","1","1","1","1","1","3","3","3","3","3","3","4","4","1","1","1","1","12","8","8","13","10","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000176396","3","4","4","3","4","4","14","13","6","2","2","2","6","5","5","3","3","2","2","2","3","11","6","3","8","3","4","6","3","3","3","3","3","2","2","1","9","3","1","3","3","1","3","2","2","6","2","5","4","4","2","4","5","2","4","3","4","2","2","2","3","2","2","3","3","3"
"ENSG00000176390","1","1","1","1","1","1","5","4","5","5","5","5","0","0","0","0","0","0","17","6","4","12","9","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","1","1","1","1","9","1","1","1","1","1","7","5","3","5","5","4","6","3","3","4","4","1"
"ENSG00000176393","2","2","2","2","2","2","22","4","5","1","1","1","3","3","1","2","2","1","4","4","5","5","3","3","2","1","1","2","1","1","3","3","3","2","2","1","1","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000083635","7","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","4","1","1","1","2","2","1","2","2","2","2","2","1","1","2","0","0","0","0","0","0","8","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000167536","22","5","5","10","5","5","19","14","12","6","6","6","7","6","6","0","0","0","10","7","6","7","5","5","10","6","5","10","5","5","5","6","4","0","0","0","8","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000167535","20","6","6","1","1","1","2","1","1","1","1","1","5","1","2","1","1","1","11","8","4","10","8","4","5","5","3","7","4","4","10","8","7","11","4","3","4","4","4","4","2","1","5","1","1","5","5","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000094796","6","8","8","6","7","6","9","9","9","8","8","8","0","0","0","0","0","0","8","10","4","6","4","4","3","1","1","5","1","1","1","1","1","3","3","1","3","1","1","2","2","1","4","2","2","4","4","2","2","2","2","3","4","5","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000237289","8","6","6","1","1","1","1","1","1","1","1","1","14","10","4","2","2","1","8","10","4","6","4","4","3","1","1","5","1","1","1","1","1","3","3","1","1","1","1","2","2","1","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
